811c9dc5 
e5473e4c Alistar_Skin20_Recall_1st-ground-slam
9c39c90b Alistar_Skin20_Recall_End_Godrays
e56b9172 Alistar_Skin20_Recall_Start
66e7a975 Alistar_Skin20_Recall_headbutt
1761ec9a Alistar_Skin20_W_Dash
bbc965ae Alistar_W_Dash
612d9835 Alistar_W_tar
5b04fa55 Alistar_recall
11eb4762 AllClock
d5930b6a AllPurpose
92fa5d7d All_Purpose
d989dd8e AllyArmor
82987407 AllyArmorPercent
c52cde53 AllyAuraMythicPassive
7af3cce5 AllyHeal
03a560d7 AllyMS
4387d5cd AllyResist
57c4d4cc Alpha_Garden_Flower_A1
e7bd68b7 Alpha_Garden_Flower_B1
28096614 Alpha_Wings
4dafd0af Alpha_dress
ffad9889 Alt_Body
08fb0a92 Alt_GhostKatana
1b791491 Alt_GhostKatana_Smear
d653e3eb Alt_Katana
83d64fc8 Alt_Katana_Smear
471344a0 Alt_Sheath
945af23c Alt_Skirt
a2d59eeb Alt_Skirt_Inner
2696f81f Alt_Wings
1ad8f02f Altar
1ad96b73 AltarRoot
50d2caa4 AltarSpear
bb8c0019 Altar_Spear
1c9640eb Ambient
5b9b0daf Ammo
a3de7b1f AmmoLoadB
a0bde86c AmmoRechargeRateBaseTooltip
070ff06f AmmoRechargeRateTooltip
cd5b69d1 AmmoRing
36480dc9 AmountToBlock
7923dbb9 AmpDuration
d7411c96 AmpedHealing
f28ef65e Amulet1
f18ef4cb Amulet2
f08ef338 Amulet3
f78efe3d Amulet4
f68efcaa Amulet5
d4656608 Amumu
090dfc31 Amumu_BA_Dust
2c8beed0 Amumu_BA_tar
37beed95 Amumu_BA_tar_crit
5cb49064 Amumu_E_Tantrum_Tar
34a6d636 Amumu_E_Tantrum_cas
18ef2539 Amumu_I_sparkle
42904b47 Amumu_Idle_Glassdome_01
1ebb9684 Amumu_Idle_HairFire
0906799f Amumu_Idle_Tesla_01
b9929dff Amumu_Infernal_MAT
bb7c4048 Amumu_P_Shred_Hit
edfda3de Amumu_P_Shred_Maintain
144572ee Amumu_Q_Fly
fd607240 Amumu_Q_Tar
72367d5e Amumu_Q_beam
8b6c1078 Amumu_Q_beam_01
732b75a4 Amumu_Q_mis
d2b073cc Amumu_R_Body_Cas
65a473d7 Amumu_R_CurseBandages_Tar
b0006e29 Amumu_R_CurseBandages_cas
053cd9a3 Amumu_R_buf_tar_01
63a765a7 Amumu_R_cas_01
af2bf128 Amumu_R_cas_fail
3897ecd9 Amumu_R_tar_Ultwrap
5a737f40 Amumu_Recall_LeadIn_SFX
f82b767c Amumu_Recall_PenguFire
4f3833c8 Amumu_Recall_PenguPoof
4b47cdab Amumu_Recall_Winddown_SFX
873466fc Amumu_Recall_balloon_pop
76fc58f5 Amumu_Skin23_I_JetGLow_L
68fc42eb Amumu_Skin23_I_JetGLow_R
49f81d79 Amumu_Skin23_Recall_Butterfly
236051d7 Amumu_W_Despair_Buf
985a7a1b Amumu_W_Despairpool_tar
3fbd371f Amumu_W_NB_AOE_01
5ae50d8d Amumu_W_RainDrop_Child
dc9716ad Amumu_W_buf_child_01
f00c9732 Amumu_W_tar
5af457c7 Amumu_Z_HeadGlassdome
58c092f7 Amumu_Z_HeadTesla
42edcab4 Anchor
f7013e01 AnchorFX1
f4013948 AnchorFX2
f5013adb AnchorFX3
b192c9cf AncientDragon_Anatomy_A_MAT
8713f947 AncientDragon_Anatomy_A_MAT2
c9adf19b AncientDragon_WaterPlane_A_MAT
3e15776a Angel_Crown
55a59415 Angel_Head
cc287c14 Angel_Head_B
b761da17 Angel_Jaw
d8b233a5 Angel_L_Clavicle
2f529c6a Angel_L_Ear
40a60a58 Angel_L_Wing1
43a60f11 Angel_L_Wing2
602dc1c8 Angel_Neck
22d162f2 Angel_Pelvis
88b72dd7 Angel_R_Clavicle
50e442f0 Angel_R_Ear
c73ba906 Angel_R_Wing1
c63ba773 Angel_R_Wing2
948b7533 Angel_Root
4ebea632 Angel_Spine
23ee2b5c Angel_Tail1
26ee3015 Angel_Tail2
25ee2e82 Angel_Tail3
20ee26a3 Angel_Tail4
461b38ef Angel_Weapon
aa3e7910 Anger
43f6e535 Anger_MAT
4c6e5476 AngleTeemo
dde82c08 AngryIdle
97fea87e Angry_Base
b24ad809 Angry_Idle
6867f459 AnimProps_Kami
06bb2cf9 AnimProps_Reality
deea4a8e AnimProps_Yokai
7a931ad5 AniviaEgg_MAT
dfc39add AniviaEgg_Skin08_MAT
b224da62 Anivia_BA_Crit_Tar
4287dc65 Anivia_BA_Mis
67fae439 Anivia_BA_Tar
28c7927c Anivia_BlackIce_Egg
40408b01 Anivia_BlackIce_FrozenDeath
841ab946 Anivia_BlackIce_Main
cc264806 Anivia_Death_1
b192c258 Anivia_Death_sfx_01
1ea2ad79 Anivia_Dinosaurs_MAT
59b6ce67 Anivia_E_Mis
1a24d59b Anivia_E_Tar
83039eb6 Anivia_EggTimer
69336d23 Anivia_EggTimer_Child
51568d6c Anivia_Emote_Joke_sfx_01
ee3d6378 Anivia_Emote_Taunt_dflt_sfx_01
e789045a Anivia_Emote_Taunt_interactive_sfx_01
e68902c7 Anivia_Emote_Taunt_interactive_sfx_02
e5890134 Anivia_Emote_Taunt_interactive_sfx_03
28643f3b Anivia_Emote_Taunt_sfx_01
7110abfc Anivia_FrostBite_chilled_tar
580a6f85 Anivia_I_Tail_Trail
8bd44db9 Anivia_I_Wing_Trails
11fcaeff Anivia_I_Wing_Trails_Left
736ca387 Anivia_Q_AOE_Mis
88035973 Anivia_Q_Mis
cd9f3617 Anivia_Q_Tar
0145da1d Anivia_Q_Tar_Hit
2a4855e2 Anivia_R_AOE_Green
9d0b1c6a Anivia_R_AOE_Green_alt
179eafa2 Anivia_R_AOE_Red
3d191fea Anivia_R_Full
98fe7c74 Anivia_R_Full_01
2f1656ae Anivia_R_Prison_tar_01
1f5c2b61 Anivia_R_Shard_tar
19ed7936 Anivia_R_Tar
cf151fd7 Anivia_R_cryostorm_01
4716cb4f Anivia_R_indicator_ring
ee1bb125 Anivia_R_warning_01
2182fec6 Anivia_Rebirth
026d50c8 Anivia_Rebirth_cas
3e9ade7d Anivia_Recall_01
3b9ad9c4 Anivia_Recall_02
3c9adb57 Anivia_Recall_03
399ad69e Anivia_Recall_04
8109eb31 Anivia_Recall_1
076263c9 Anivia_Recall_Finale
8e1876d8 Anivia_Recall_Light_01
62657393 Anivia_Recall_Main
43fd41af Anivia_Recall_strt_sfx_01
2da48606 Anivia_Respawn_sfx_01
7c4b9b75 Anivia_Skin07_MAT
be33282f Anivia_Skin08_recall_Big_Flash
b959552d Anivia_Skin08_recall_Birds_Spin
d12fe164 Anivia_Skin08_recall_Glow_Flash
10841412 Anivia_Skin08_recall_Magic_Suck
5a32ae21 Anivia_Skin08_recall_Wing_Glow
8a2ba029 Anivia_W_Tar
6890f16e Anivia_W_Wall_Child_Large_02
6990f301 Anivia_W_Wall_Child_Large_03
665ecba3 Anivia_W_Wall_Child_Small_01
675ecd36 Anivia_W_Wall_Child_Small_02
685ecec9 Anivia_W_Wall_Child_Small_03
695ed05c Anivia_W_Wall_Child_Small_04
2867d757 Anivia_W_wall_burst_01
2967d8ea Anivia_W_wall_burst_02
